candidate,operator,precision,nodes,runs,torch_p50_ms,flagos_p50_ms,speedup_over_torch,speedup_ci_low,speedup_ci_high,latency_reduction_percent,max_abs_error
Initial FlagOS MUSA registered implementation,Gaussian pair-bias,fp32,1050,5,22.962857246398926,2652.8751220703125,0.008656185607237283,0.008645832662879166,0.008670229842720771,-11452.432507499812,1.341104507446289e-07
Initial FlagOS MUSA registered implementation,Pair-attention score/softmax/context,fp32,1050,5,0.7476645112037659,9.645879745483398,0.07759963572361481,0.07716379757519276,0.07820035299269039,-1188.6658431769984,9.5367431640625e-07
Optimized FlagOS MUSA backend,Gaussian pair-bias,bf16,256,5,2.1357299089431763,1.0464049577713013,2.0431362801426163,2.0349604176626883,2.055661487727911,51.0556388372587,0.0
Optimized FlagOS MUSA backend,Gaussian pair-bias,bf16,512,5,6.232182502746582,2.8549110889434814,2.1820659518170658,2.17700042289187,2.1886005498603236,54.17187096626146,7.62939453125e-06
Optimized FlagOS MUSA backend,Gaussian pair-bias,bf16,1050,5,23.192063331604004,9.820756435394287,2.358443750137666,2.3487049419935198,2.3641125039981183,57.59915834576812,6.103515625e-05
Optimized FlagOS MUSA backend,Gaussian pair-bias,bf16,2048,5,85.63791275024414,36.02547645568848,2.380148582574075,2.3653402947816335,2.3886097369880814,57.985816208224975,1.52587890625e-05
Optimized FlagOS MUSA backend,Gaussian pair-bias,fp16,256,5,2.1358155012130737,1.0459794998168945,2.0430803524857684,2.0364264654382063,2.051827977724547,51.05429902532599,7.62939453125e-06
Optimized FlagOS MUSA backend,Gaussian pair-bias,fp16,512,5,6.236644983291626,2.853195548057556,2.1869116150397034,2.183535801929506,2.199016523014167,54.27341493259914,6.103515625e-05
Optimized FlagOS MUSA backend,Gaussian pair-bias,fp16,1050,5,23.187063217163086,9.813385963439941,2.3618932069358087,2.352126700409046,2.3681564239119495,57.661083191083584,1.52587890625e-05
Optimized FlagOS MUSA backend,Gaussian pair-bias,fp16,2048,5,85.57035064697266,36.06831359863281,2.369611685703463,2.3623357301890677,2.38424427279582,57.798992719639145,1.52587890625e-05
Optimized FlagOS MUSA backend,Gaussian pair-bias,fp32,256,5,1.9917359948158264,0.8818114995956421,2.262129195841187,2.238371337952713,2.274233538083272,55.79385996880944,8.940696716308594e-08
Optimized FlagOS MUSA backend,Gaussian pair-bias,fp32,512,5,6.076155662536621,2.676900029182434,2.269559124418916,2.2600780610588647,2.2754240748204055,55.938579028822,2.2351741790771484e-08
Optimized FlagOS MUSA backend,Gaussian pair-bias,fp32,1050,5,22.95592212677002,9.567075252532959,2.399203660348644,2.3759661949357143,2.407247791709023,58.31950340327994,2.0489096641540527e-08
Optimized FlagOS MUSA backend,Gaussian pair-bias,fp32,2048,5,85.2319564819336,35.635454177856445,2.3911989676210865,2.3835309409166707,2.400066516021193,58.17997525338252,3.3527612686157227e-08
Optimized FlagOS MUSA backend,Pair-attention score/softmax/context,bf16,256,5,0.20019850134849548,0.207737497985363,0.9566598595253014,0.9001296735927046,1.086355746177795,-4.530360508300646,0.003744959831237793
Optimized FlagOS MUSA backend,Pair-attention score/softmax/context,bf16,512,5,0.23358099907636642,0.22874800115823746,0.9900058345068213,0.9703803036001215,1.1207457012207294,-1.0095057165150356,0.0022426247596740723
Optimized FlagOS MUSA backend,Pair-attention score/softmax/context,bf16,1050,5,0.5461330115795135,0.28319549560546875,1.9277796738889905,1.8401393367735293,2.0925862329706573,48.12685217379338,0.0034161806106567383
Optimized FlagOS MUSA backend,Pair-attention score/softmax/context,bf16,2048,5,1.018861472606659,0.5705739855766296,1.7692449567651798,1.7422600597112259,1.8665880009761557,43.478714116084745,0.002077817916870117
Optimized FlagOS MUSA backend,Pair-attention score/softmax/context,fp16,256,5,0.19830700010061264,0.2014624997973442,0.9656788435204336,0.8777463275557563,1.0945200521608862,-3.554096344748192,0.001953125
Optimized FlagOS MUSA backend,Pair-attention score/softmax/context,fp16,512,5,0.23514799773693085,0.2233855053782463,1.0325690140565222,0.972563359273442,1.2021780372235136,3.154173097696633,0.0029296875
Optimized FlagOS MUSA backend,Pair-attention score/softmax/context,fp16,1050,5,0.5437375009059906,0.28189699351787567,1.91582944537663,1.8589177960859224,2.106429102019909,47.80328685242586,0.001953125
Optimized FlagOS MUSA backend,Pair-attention score/softmax/context,fp16,2048,5,1.0224515199661255,0.571991503238678,1.7955475346422736,1.7580232945391416,1.870025796247099,44.30668190584942,0.00244140625
Optimized FlagOS MUSA backend,Pair-attention score/softmax/context,fp32,256,5,0.21843650192022324,0.22927800565958023,0.9533136986068619,0.9394801284976146,1.0528262018994377,-4.897265345223056,0.0
Optimized FlagOS MUSA backend,Pair-attention score/softmax/context,fp32,512,5,0.3024889975786209,0.2999565005302429,1.0059005858361798,0.9946434664546907,1.0693187448358996,0.5865973158048043,0.0
Optimized FlagOS MUSA backend,Pair-attention score/softmax/context,fp32,1050,5,0.743149995803833,0.6624284982681274,1.1232089240549759,1.1179090033503805,1.128275169173381,10.969368335337881,0.0
Optimized FlagOS MUSA backend,Pair-attention score/softmax/context,fp32,2048,5,1.747473955154419,1.3872215151786804,1.2617154643608783,1.257333850389718,1.2640304469702563,20.742827662293116,0.0
