operator,precision,nodes,implementation,sample_index,device_event_ms,host_wall_ms
gaussian_pair_bias,fp32,256,PyTorch reference,0,2.065757989883423,2.1857768297195435
gaussian_pair_bias,fp32,256,PyTorch reference,1,1.999019980430603,2.0208731293678284
gaussian_pair_bias,fp32,256,PyTorch reference,2,2.0012600421905518,2.021417021751404
gaussian_pair_bias,fp32,256,PyTorch reference,3,1.9891599416732788,2.0090341567993164
gaussian_pair_bias,fp32,256,PyTorch reference,4,1.9749740362167358,1.993909478187561
gaussian_pair_bias,fp32,256,PyTorch reference,5,1.9911659955978394,2.0107030868530273
gaussian_pair_bias,fp32,256,PyTorch reference,6,2.0001540184020996,2.019226551055908
gaussian_pair_bias,fp32,256,PyTorch reference,7,1.9955559968948364,2.0154640078544617
gaussian_pair_bias,fp32,256,PyTorch reference,8,2.0020909309387207,2.0212754607200623
gaussian_pair_bias,fp32,256,PyTorch reference,9,2.0091300010681152,2.028718590736389
gaussian_pair_bias,fp32,256,Optimized FlagOS MUSA backend,0,0.9237139821052551,0.9590834379196167
gaussian_pair_bias,fp32,256,Optimized FlagOS MUSA backend,1,0.8958119750022888,0.9163394570350647
gaussian_pair_bias,fp32,256,Optimized FlagOS MUSA backend,2,0.8923739790916443,0.9118616580963135
gaussian_pair_bias,fp32,256,Optimized FlagOS MUSA backend,3,0.8789340257644653,0.8973181247711182
gaussian_pair_bias,fp32,256,Optimized FlagOS MUSA backend,4,0.8947830200195312,0.9149312973022461
gaussian_pair_bias,fp32,256,Optimized FlagOS MUSA backend,5,0.8783609867095947,0.8980482816696167
gaussian_pair_bias,fp32,256,Optimized FlagOS MUSA backend,6,0.8702809810638428,0.8903369307518005
gaussian_pair_bias,fp32,256,Optimized FlagOS MUSA backend,7,0.8837929964065552,0.9048879146575928
gaussian_pair_bias,fp32,256,Optimized FlagOS MUSA backend,8,0.8741819858551025,0.8928403258323669
gaussian_pair_bias,fp32,256,Optimized FlagOS MUSA backend,9,0.8805699944496155,0.8989647030830383
pair_score_epilogue,fp32,256,PyTorch reference,0,0.21803799271583557,0.25710463523864746
pair_score_epilogue,fp32,256,PyTorch reference,1,0.2801569998264313,0.29700249433517456
pair_score_epilogue,fp32,256,PyTorch reference,2,0.22317899763584137,0.2794787287712097
pair_score_epilogue,fp32,256,PyTorch reference,3,0.21537500619888306,0.23393332958221436
pair_score_epilogue,fp32,256,PyTorch reference,4,0.24589699506759644,0.26413798332214355
pair_score_epilogue,fp32,256,PyTorch reference,5,0.28331199288368225,0.3012940287590027
pair_score_epilogue,fp32,256,PyTorch reference,6,0.2417459934949875,0.25949627161026
pair_score_epilogue,fp32,256,PyTorch reference,7,0.21730999648571014,0.27016550302505493
pair_score_epilogue,fp32,256,PyTorch reference,8,0.2082120031118393,0.22655725479125977
pair_score_epilogue,fp32,256,PyTorch reference,9,0.21571899950504303,0.23384392261505127
