operator,precision,nodes,implementation,sample_index,device_event_ms,host_wall_ms
gaussian_pair_bias,fp32,256,PyTorch reference,0,2.0369999408721924,2.160191535949707
gaussian_pair_bias,fp32,256,PyTorch reference,1,2.0026040077209473,2.0227283239364624
gaussian_pair_bias,fp32,256,PyTorch reference,2,1.99918794631958,2.0178183913230896
gaussian_pair_bias,fp32,256,PyTorch reference,3,1.9984049797058105,2.0172223448753357
gaussian_pair_bias,fp32,256,PyTorch reference,4,1.9726569652557373,1.99049711227417
gaussian_pair_bias,fp32,256,PyTorch reference,5,1.99918794631958,2.017393708229065
gaussian_pair_bias,fp32,256,PyTorch reference,6,1.9853960275650024,2.003379166126251
gaussian_pair_bias,fp32,256,PyTorch reference,7,1.9845260381698608,2.0026564598083496
gaussian_pair_bias,fp32,256,PyTorch reference,8,1.9848049879074097,2.0025894045829773
gaussian_pair_bias,fp32,256,PyTorch reference,9,1.9675439596176147,1.9853338599205017
gaussian_pair_bias,fp32,256,Optimized FlagOS MUSA backend,0,0.9040300250053406,0.9355545043945312
gaussian_pair_bias,fp32,256,Optimized FlagOS MUSA backend,1,0.8892679810523987,0.9083226323127747
gaussian_pair_bias,fp32,256,Optimized FlagOS MUSA backend,2,0.8911489844322205,0.9103342890739441
gaussian_pair_bias,fp32,256,Optimized FlagOS MUSA backend,3,0.8785160183906555,0.8947029709815979
gaussian_pair_bias,fp32,256,Optimized FlagOS MUSA backend,4,0.892952024936676,0.9111464023590088
gaussian_pair_bias,fp32,256,Optimized FlagOS MUSA backend,5,0.8750839829444885,0.8938685059547424
gaussian_pair_bias,fp32,256,Optimized FlagOS MUSA backend,6,0.8711209893226624,0.889897346496582
gaussian_pair_bias,fp32,256,Optimized FlagOS MUSA backend,7,0.8765559792518616,0.894986093044281
gaussian_pair_bias,fp32,256,Optimized FlagOS MUSA backend,8,0.8820149898529053,0.9049549698829651
gaussian_pair_bias,fp32,256,Optimized FlagOS MUSA backend,9,0.8898440003395081,0.9078383445739746
pair_score_epilogue,fp32,256,PyTorch reference,0,0.21502900123596191,0.25366246700286865
pair_score_epilogue,fp32,256,PyTorch reference,1,0.2685770094394684,0.2849847078323364
pair_score_epilogue,fp32,256,PyTorch reference,2,0.2200780063867569,0.2748817205429077
pair_score_epilogue,fp32,256,PyTorch reference,3,0.20780199766159058,0.22523105144500732
pair_score_epilogue,fp32,256,PyTorch reference,4,0.24253299832344055,0.2603456377983093
pair_score_epilogue,fp32,256,PyTorch reference,5,0.28237900137901306,0.3005415201187134
pair_score_epilogue,fp32,256,PyTorch reference,6,0.24057500064373016,0.25825202465057373
pair_score_epilogue,fp32,256,PyTorch reference,7,0.2160560041666031,0.267617404460907
pair_score_epilogue,fp32,256,PyTorch reference,8,0.20570500195026398,0.22395700216293335
pair_score_epilogue,fp32,256,PyTorch reference,9,0.21401700377464294,0.23211538791656494
pair_score_epilogue,fp32,256,Optimized FlagOS MUSA backend,0,0.2482530027627945,0.27523189783096313
pair_score_epilogue,fp32,256,Optimized FlagOS MUSA backend,1,0.22576099634170532,0.24504214525222778
pair_score_epilogue,fp32,256,Optimized FlagOS MUSA backend,2,0.2261359989643097,0.24464726448059082
pair_score_epilogue,fp32,256,Optimized FlagOS MUSA backend,3,0.23153600096702576,0.24907290935516357
pair_score_epilogue,fp32,256,Optimized FlagOS MUSA backend,4,0.22928400337696075,0.2478957176208496
pair_score_epilogue,fp32,256,Optimized FlagOS MUSA backend,5,0.22623799741268158,0.2423897385597229
pair_score_epilogue,fp32,256,Optimized FlagOS MUSA backend,6,0.22766900062561035,0.24341046810150146
pair_score_epilogue,fp32,256,Optimized FlagOS MUSA backend,7,0.25743699073791504,0.27523189783096313
pair_score_epilogue,fp32,256,Optimized FlagOS MUSA backend,8,0.2190829962491989,0.2372264862060547
pair_score_epilogue,fp32,256,Optimized FlagOS MUSA backend,9,0.22803999483585358,0.24525821208953857
gaussian_pair_bias,fp32,512,PyTorch reference,0,6.131185054779053,6.164349615573883
gaussian_pair_bias,fp32,512,PyTorch reference,1,6.083674907684326,6.102912127971649
gaussian_pair_bias,fp32,512,PyTorch reference,2,6.059254169464111,6.078049540519714
gaussian_pair_bias,fp32,512,PyTorch reference,3,6.066924095153809,6.085284054279327
gaussian_pair_bias,fp32,512,PyTorch reference,4,6.060678958892822,6.078943610191345
gaussian_pair_bias,fp32,512,PyTorch reference,5,6.081305027008057,6.099477410316467
gaussian_pair_bias,fp32,512,PyTorch reference,6,6.065065860748291,6.0840994119644165
gaussian_pair_bias,fp32,512,PyTorch reference,7,6.0877509117126465,6.1064064502716064
gaussian_pair_bias,fp32,512,PyTorch reference,8,6.057733058929443,6.0760825872421265
gaussian_pair_bias,fp32,512,PyTorch reference,9,6.064342975616455,6.081879138946533
gaussian_pair_bias,fp32,512,Optimized FlagOS MUSA backend,0,2.693942070007324,2.7264878153800964
gaussian_pair_bias,fp32,512,Optimized FlagOS MUSA backend,1,2.6701269149780273,2.6897862553596497
gaussian_pair_bias,fp32,512,Optimized FlagOS MUSA backend,2,2.695211887359619,2.71596759557724
gaussian_pair_bias,fp32,512,Optimized FlagOS MUSA backend,3,2.681649923324585,2.699710428714752
gaussian_pair_bias,fp32,512,Optimized FlagOS MUSA backend,4,2.702836036682129,2.7218088507652283
gaussian_pair_bias,fp32,512,Optimized FlagOS MUSA backend,5,2.6595230102539062,2.677999436855316
gaussian_pair_bias,fp32,512,Optimized FlagOS MUSA backend,6,2.6600630283355713,2.6784762740135193
gaussian_pair_bias,fp32,512,Optimized FlagOS MUSA backend,7,2.6850531101226807,2.7087554335594177
gaussian_pair_bias,fp32,512,Optimized FlagOS MUSA backend,8,2.6554720401763916,2.674192190170288
gaussian_pair_bias,fp32,512,Optimized FlagOS MUSA backend,9,2.6819140911102295,2.700693905353546
pair_score_epilogue,fp32,512,PyTorch reference,0,0.3052380084991455,0.3324374556541443
pair_score_epilogue,fp32,512,PyTorch reference,1,0.3331960141658783,0.3496035933494568
pair_score_epilogue,fp32,512,PyTorch reference,2,0.3016799986362457,0.3555119037628174
pair_score_epilogue,fp32,512,PyTorch reference,3,0.2995460033416748,0.3165900707244873
pair_score_epilogue,fp32,512,PyTorch reference,4,0.33375900983810425,0.35116076469421387
