operator,precision,nodes,implementation,sample_index,device_event_ms,host_wall_ms
gaussian_pair_bias,fp32,256,PyTorch reference,0,2.046776056289673,2.163022756576538
gaussian_pair_bias,fp32,256,PyTorch reference,1,2.001400947570801,2.0222291350364685
gaussian_pair_bias,fp32,256,PyTorch reference,2,1.9939450025558472,2.0131170749664307
gaussian_pair_bias,fp32,256,PyTorch reference,3,1.9876229763031006,2.00682133436203
gaussian_pair_bias,fp32,256,PyTorch reference,4,1.9703459739685059,1.9887462258338928
gaussian_pair_bias,fp32,256,PyTorch reference,5,1.9840229749679565,2.002120018005371
gaussian_pair_bias,fp32,256,PyTorch reference,6,1.991758942604065,2.0103007555007935
gaussian_pair_bias,fp32,256,PyTorch reference,7,1.9754459857940674,1.9940510392189026
gaussian_pair_bias,fp32,256,PyTorch reference,8,1.9823089838027954,2.0011216402053833
gaussian_pair_bias,fp32,256,PyTorch reference,9,1.972978949546814,1.9914880394935608
gaussian_pair_bias,fp32,256,Optimized FlagOS MUSA backend,0,0.8918160200119019,0.9262040257453918
gaussian_pair_bias,fp32,256,Optimized FlagOS MUSA backend,1,0.8989830017089844,0.9190067648887634
gaussian_pair_bias,fp32,256,Optimized FlagOS MUSA backend,2,0.8961570262908936,0.9159669280052185
gaussian_pair_bias,fp32,256,Optimized FlagOS MUSA backend,3,0.8791919946670532,0.8960515260696411
gaussian_pair_bias,fp32,256,Optimized FlagOS MUSA backend,4,0.884431004524231,0.903494656085968
gaussian_pair_bias,fp32,256,Optimized FlagOS MUSA backend,5,0.8780369758605957,0.8978173136711121
gaussian_pair_bias,fp32,256,Optimized FlagOS MUSA backend,6,0.8760929703712463,0.8959248661994934
gaussian_pair_bias,fp32,256,Optimized FlagOS MUSA backend,7,0.8742679953575134,0.8936300873756409
gaussian_pair_bias,fp32,256,Optimized FlagOS MUSA backend,8,0.8754199743270874,0.894106924533844
gaussian_pair_bias,fp32,256,Optimized FlagOS MUSA backend,9,0.8901749849319458,0.9097009897232056
pair_score_epilogue,fp32,256,PyTorch reference,0,0.20844699442386627,0.25197863578796387
pair_score_epilogue,fp32,256,PyTorch reference,1,0.27240899205207825,0.2894774079322815
pair_score_epilogue,fp32,256,PyTorch reference,2,0.21768300235271454,0.27398020029067993
pair_score_epilogue,fp32,256,PyTorch reference,3,0.20890800654888153,0.22748112678527832
pair_score_epilogue,fp32,256,PyTorch reference,4,0.24612000584602356,0.264190137386322
pair_score_epilogue,fp32,256,PyTorch reference,5,0.2791390120983124,0.296957790851593
pair_score_epilogue,fp32,256,PyTorch reference,6,0.2458149939775467,0.26459991931915283
pair_score_epilogue,fp32,256,PyTorch reference,7,0.21819500625133514,0.2694353461265564
pair_score_epilogue,fp32,256,PyTorch reference,8,0.2096260040998459,0.22757798433303833
pair_score_epilogue,fp32,256,PyTorch reference,9,0.21823200583457947,0.2359449863433838
pair_score_epilogue,fp32,256,Optimized FlagOS MUSA backend,0,0.24107199907302856,0.2673119306564331
pair_score_epilogue,fp32,256,Optimized FlagOS MUSA backend,1,0.22579200565814972,0.24566054344177246
pair_score_epilogue,fp32,256,Optimized FlagOS MUSA backend,2,0.22563999891281128,0.24449825286865234
pair_score_epilogue,fp32,256,Optimized FlagOS MUSA backend,3,0.2304839938879013,0.24927407503128052
pair_score_epilogue,fp32,256,Optimized FlagOS MUSA backend,4,0.2285040020942688,0.2471134066581726
pair_score_epilogue,fp32,256,Optimized FlagOS MUSA backend,5,0.23093999922275543,0.24780631065368652
pair_score_epilogue,fp32,256,Optimized FlagOS MUSA backend,6,0.23103299736976624,0.24811923503875732
pair_score_epilogue,fp32,256,Optimized FlagOS MUSA backend,7,0.2372879981994629,0.25679171085357666
pair_score_epilogue,fp32,256,Optimized FlagOS MUSA backend,8,0.22824400663375854,0.24721771478652954
pair_score_epilogue,fp32,256,Optimized FlagOS MUSA backend,9,0.230335995554924,0.24909526109695435
gaussian_pair_bias,fp32,512,PyTorch reference,0,6.151275157928467,6.185770034790039
gaussian_pair_bias,fp32,512,PyTorch reference,1,6.09329891204834,6.113260984420776
gaussian_pair_bias,fp32,512,PyTorch reference,2,6.073029041290283,6.092384457588196
gaussian_pair_bias,fp32,512,PyTorch reference,3,6.058824062347412,6.078295409679413
gaussian_pair_bias,fp32,512,PyTorch reference,4,6.0787458419799805,6.097950041294098
gaussian_pair_bias,fp32,512,PyTorch reference,5,6.080862045288086,6.099410355091095
gaussian_pair_bias,fp32,512,PyTorch reference,6,6.074550151824951,6.093159317970276
gaussian_pair_bias,fp32,512,PyTorch reference,7,6.073431015014648,6.091862916946411
gaussian_pair_bias,fp32,512,PyTorch reference,8,6.061059951782227,6.079539656639099
gaussian_pair_bias,fp32,512,PyTorch reference,9,6.077761173248291,6.096690893173218
gaussian_pair_bias,fp32,512,Optimized FlagOS MUSA backend,0,2.7075018882751465,2.739652991294861
gaussian_pair_bias,fp32,512,Optimized FlagOS MUSA backend,1,2.6933751106262207,2.712756395339966
gaussian_pair_bias,fp32,512,Optimized FlagOS MUSA backend,2,2.6757729053497314,2.694748342037201
gaussian_pair_bias,fp32,512,Optimized FlagOS MUSA backend,3,2.6726651191711426,2.692021429538727
gaussian_pair_bias,fp32,512,Optimized FlagOS MUSA backend,4,2.6822779178619385,2.702876925468445
gaussian_pair_bias,fp32,512,Optimized FlagOS MUSA backend,5,2.693563938140869,2.713136374950409
gaussian_pair_bias,fp32,512,Optimized FlagOS MUSA backend,6,2.6673390865325928,2.6867613196372986
gaussian_pair_bias,fp32,512,Optimized FlagOS MUSA backend,7,2.660876989364624,2.6807039976119995
gaussian_pair_bias,fp32,512,Optimized FlagOS MUSA backend,8,2.6763319969177246,2.696223556995392
gaussian_pair_bias,fp32,512,Optimized FlagOS MUSA backend,9,2.6556150913238525,2.674572169780731
pair_score_epilogue,fp32,512,PyTorch reference,0,0.30219200253486633,0.33540278673171997
pair_score_epilogue,fp32,512,PyTorch reference,1,0.3202440142631531,0.33621490001678467
pair_score_epilogue,fp32,512,PyTorch reference,2,0.3027859926223755,0.35649538040161133
pair_score_epilogue,fp32,512,PyTorch reference,3,0.2986519932746887,0.31607598066329956
pair_score_epilogue,fp32,512,PyTorch reference,4,0.33400198817253113,0.35497546195983887
pair_score_epilogue,fp32,512,PyTorch reference,5,0.3653149902820587,0.3836527466773987
pair_score_epilogue,fp32,512,PyTorch reference,6,0.3305329978466034,0.34815818071365356
pair_score_epilogue,fp32,512,PyTorch reference,7,0.2964699864387512,0.34692883491516113
pair_score_epilogue,fp32,512,PyTorch reference,8,0.2937380075454712,0.31204521656036377
pair_score_epilogue,fp32,512,PyTorch reference,9,0.2973870038986206,0.31444430351257324
pair_score_epilogue,fp32,512,Optimized FlagOS MUSA backend,0,0.3251749873161316,0.3512278199195862
pair_score_epilogue,fp32,512,Optimized FlagOS MUSA backend,1,0.30854400992393494,0.32835453748703003
pair_score_epilogue,fp32,512,Optimized FlagOS MUSA backend,2,0.2984119951725006,0.31685084104537964
pair_score_epilogue,fp32,512,Optimized FlagOS MUSA backend,3,0.30377399921417236,0.32197684049606323
pair_score_epilogue,fp32,512,Optimized FlagOS MUSA backend,4,0.3013240098953247,0.3201588988304138
pair_score_epilogue,fp32,512,Optimized FlagOS MUSA backend,5,0.30104899406433105,0.316716730594635
pair_score_epilogue,fp32,512,Optimized FlagOS MUSA backend,6,0.2984449863433838,0.3142207860946655
pair_score_epilogue,fp32,512,Optimized FlagOS MUSA backend,7,0.2964630126953125,0.31544268131256104
pair_score_epilogue,fp32,512,Optimized FlagOS MUSA backend,8,0.2911849915981293,0.3097429871559143
pair_score_epilogue,fp32,512,Optimized FlagOS MUSA backend,9,0.30094900727272034,0.3186538815498352
gaussian_pair_bias,fp32,1050,PyTorch reference,0,23.069997787475586,23.10289442539215
gaussian_pair_bias,fp32,1050,PyTorch reference,1,22.943021774291992,22.96428382396698
gaussian_pair_bias,fp32,1050,PyTorch reference,2,22.981536865234375,23.00100028514862
gaussian_pair_bias,fp32,1050,PyTorch reference,3,22.904884338378906,22.9240283370018
gaussian_pair_bias,fp32,1050,PyTorch reference,4,23.07831382751465,23.097865283489227
gaussian_pair_bias,fp32,1050,PyTorch reference,5,22.953678131103516,22.973045706748962
gaussian_pair_bias,fp32,1050,PyTorch reference,6,23.117761611938477,23.13762903213501
gaussian_pair_bias,fp32,1050,PyTorch reference,7,22.96120834350586,22.982053458690643
gaussian_pair_bias,fp32,1050,PyTorch reference,8,22.963655471801758,22.982321679592133
gaussian_pair_bias,fp32,1050,PyTorch reference,9,22.921436309814453,22.940687835216522
gaussian_pair_bias,fp32,1050,Optimized FlagOS MUSA backend,0,9.615857124328613,9.649008512496948
gaussian_pair_bias,fp32,1050,Optimized FlagOS MUSA backend,1,9.56081771850586,9.583830833435059
gaussian_pair_bias,fp32,1050,Optimized FlagOS MUSA backend,2,9.609320640563965,9.63534414768219
gaussian_pair_bias,fp32,1050,Optimized FlagOS MUSA backend,3,9.632450103759766,9.649865329265594
gaussian_pair_bias,fp32,1050,Optimized FlagOS MUSA backend,4,9.55450439453125,9.576387703418732
gaussian_pair_bias,fp32,1050,Optimized FlagOS MUSA backend,5,9.572430610656738,9.595021605491638
gaussian_pair_bias,fp32,1050,Optimized FlagOS MUSA backend,6,9.543039321899414,9.563177824020386
gaussian_pair_bias,fp32,1050,Optimized FlagOS MUSA backend,7,9.59273910522461,9.614743292331696
gaussian_pair_bias,fp32,1050,Optimized FlagOS MUSA backend,8,9.582963943481445,9.605564177036285
gaussian_pair_bias,fp32,1050,Optimized FlagOS MUSA backend,9,9.543451309204102,9.562738239765167
pair_score_epilogue,fp32,1050,PyTorch reference,0,0.7449560165405273,0.7768422365188599
pair_score_epilogue,fp32,1050,PyTorch reference,1,0.8164430260658264,0.8351057767868042
pair_score_epilogue,fp32,1050,PyTorch reference,2,0.7443310022354126,0.762350857257843
pair_score_epilogue,fp32,1050,PyTorch reference,3,0.7403709888458252,0.7587894797325134
pair_score_epilogue,fp32,1050,PyTorch reference,4,0.7323979735374451,0.7502511143684387
pair_score_epilogue,fp32,1050,PyTorch reference,5,0.7710549831390381,0.8188784122467041
pair_score_epilogue,fp32,1050,PyTorch reference,6,0.7438380122184753,0.7912293076515198
