stage,sample_index,device_event_ms,host_wall_ms
pure_pytorch,0,33.205894470214844,33.32005441188812
pure_pytorch,1,33.25809860229492,33.28306972980499
pure_pytorch,2,33.178592681884766,33.202774822711945
pure_pytorch,3,33.198238372802734,33.22253376245499
pure_pytorch,4,33.15567398071289,33.18113088607788
pure_pytorch,5,33.22908401489258,33.25405716896057
pure_pytorch,6,33.19950866699219,33.224210143089294
pure_pytorch,7,33.245872497558594,33.27052295207977
pure_pytorch,8,33.1596565246582,33.18406641483307
pure_pytorch,9,33.181766510009766,33.20584446191788
pure_pytorch,10,33.173545837402344,33.197708427906036
pure_pytorch,11,33.21436309814453,33.23841094970703
pure_pytorch,12,33.240440368652344,33.26473385095596
pure_pytorch,13,33.1683235168457,33.19378197193146
pure_pytorch,14,33.17552947998047,33.200085163116455
native_gaussian_pair_bias,0,20.05877685546875,20.095497369766235
native_gaussian_pair_bias,1,19.981582641601562,20.007453858852386
native_gaussian_pair_bias,2,19.97532844543457,20.00032365322113
native_gaussian_pair_bias,3,20.01002311706543,20.03505825996399
native_gaussian_pair_bias,4,19.987775802612305,20.012572407722473
native_gaussian_pair_bias,5,19.980911254882812,20.00579982995987
native_gaussian_pair_bias,6,19.985187530517578,20.010314881801605
native_gaussian_pair_bias,7,19.97915267944336,20.004630088806152
native_gaussian_pair_bias,8,20.031200408935547,20.05661278963089
native_gaussian_pair_bias,9,20.057775497436523,20.082488656044006
native_gaussian_pair_bias,10,19.97602081298828,20.00105381011963
native_gaussian_pair_bias,11,20.00320053100586,20.028062164783478
native_gaussian_pair_bias,12,19.9982967376709,20.022742450237274
native_gaussian_pair_bias,13,19.985767364501953,20.011872053146362
native_gaussian_pair_bias,14,20.030797958374023,20.05539834499359
native_pair_score_epilogue,0,29.604183197021484,29.640689492225647
native_pair_score_epilogue,1,29.60272216796875,29.624827206134796
native_pair_score_epilogue,2,29.632339477539062,29.654398560523987
native_pair_score_epilogue,3,29.48772430419922,29.50993925333023
native_pair_score_epilogue,4,29.584474563598633,29.607519507408142
native_pair_score_epilogue,5,29.56434440612793,29.588647186756134
native_pair_score_epilogue,6,29.61772346496582,29.64033931493759
native_pair_score_epilogue,7,29.682836532592773,29.705487191677094
native_pair_score_epilogue,8,29.545589447021484,29.568642377853394
native_pair_score_epilogue,9,29.55684471130371,29.57945317029953
native_pair_score_epilogue,10,29.568941116333008,29.592543840408325
native_pair_score_epilogue,11,29.623546600341797,29.648348689079285
native_pair_score_epilogue,12,29.63518714904785,29.657334089279175
native_pair_score_epilogue,13,29.50096321105957,29.52270209789276
native_pair_score_epilogue,14,29.532657623291016,29.555462300777435
native_stofm_operators_combined,0,16.416610717773438,16.45199954509735
native_stofm_operators_combined,1,16.3043155670166,16.32833480834961
native_stofm_operators_combined,2,16.353195190429688,16.37602597475052
native_stofm_operators_combined,3,16.337026596069336,16.359515488147736
native_stofm_operators_combined,4,16.314285278320312,16.336441040039062
native_stofm_operators_combined,5,16.34504508972168,16.367748379707336
native_stofm_operators_combined,6,16.354015350341797,16.376420855522156
native_stofm_operators_combined,7,16.36321449279785,16.386568546295166
native_stofm_operators_combined,8,16.339996337890625,16.363471746444702
native_stofm_operators_combined,9,16.298633575439453,16.321144998073578
native_stofm_operators_combined,10,16.32634162902832,16.34814590215683
native_stofm_operators_combined,11,16.369932174682617,16.391664743423462
native_stofm_operators_combined,12,16.29149627685547,16.313068568706512
native_stofm_operators_combined,13,16.312767028808594,16.33458584547043
native_stofm_operators_combined,14,16.31923484802246,16.341671347618103
